id	invoice_no 	date	user_id	location_id	customer_id 	additional_fee	discount	total	payment	change	payment_type	status	posted_at	posted_by	voided_at	voided_by	created_at	updated_at
1804	2024/2.1814-22	30/01/2024			889		4000000	12000000	12000000	0		posted						
1805	2024/2.1815-22	30/01/2024			131		225000	6600000	6600000	0		posted						
1806	2024/2.1816-22	31/01/2024			139			900000	900000	0		posted						
1807	2024/2.1817-22	02/02/2024			131		20000	1665000	1665000	0		posted						
1808	2024/2.1818-22	22/02/2024			845		210000	2590000	2590000	0		posted						
1809	2024/2.1819-22	05/02/2024			131			3250000	3250000	0		posted						
1810	2024/2.1820-22	05/02/2024			867			1400000	1400000	0		posted						
1811	2024/2.1821-22	06/02/2024			362	400000		1800000	1800000	0		posted						
1812	2024/2.1822-22	06/02/2024			890		115000	1600000	1600000	0		posted						
1813	2024/2.1823-22	06/02/2024			891		80000	900000	900000	0		posted						
1814	2024/2.1824-22	07/02/2024			131			2475000	2475000	0		posted						
1815	2024/2.1825-22	08/02/2024			131			980000	980000	0		posted						
1816	2024/2.1826-22	09/02/2024			892			5250000	5250000	0		posted						
1817	2024/2.1827-22	09/02/2024			893		300000	5600000	5600000	0		posted						
1818	2024/2.1828-22	09/02/2024			131	0	400000	1200000	1200000	0		posted						
1819	2024/2.1829-22	09/02/2024			131		1500000	6000000	6000000	0		posted						
1820	2024/2.1830-26	10/02/2024			131			1350000	1350000	0		posted						
1821	2024/2.1831-26	13/02/2024			894			1647000	1647000	0		posted						
1822	2024/2.1832-26	15/02/2024			331			685000	685000	0		posted						
1823	2024/2.1833-26	16/02/2024			895		180000	5620000	5620000	0		posted						
1824	2024/2.1834-26	16/02/2024			896		115000	1350000	1350000	0		posted						
1825	2024/2.1835-26	17/02/2024			301			2420000	2420000	0		posted						
1826	2024/2.1836-26	19/02/2024			301			2200000	2200000	0		posted						
1827	2024/2.1837-26	19/02/2024			897			18600000	18600000	0		posted						
1828	2024/2.1838-26	21/02/2024			898			1162500	1162500	0		posted						
1829	2024/2.1839-26	21/02/2024			131		125000	1400000	1400000	0		posted						
1830	2024/2.1840-26	21/02/2024			131			230000	230000	0		posted						
1831	2024/2.1841-26	22/02/2024			53			5780000	5780000	0		posted						
1832	2024/2.1842-26	23/02/2024			769	240000		3040000	3040000	0		posted						
