product_id,location_id,adjust_qty,unit_cost,reason
156,12,3,,"Auto top-up for posting draft sales"
157,12,8,,"Auto top-up for posting draft sales"
158,12,1,,"Auto top-up for posting draft sales"
159,12,1,,"Auto top-up for posting draft sales"
165,12,3,,"Auto top-up for posting draft sales"
166,12,1,,"Auto top-up for posting draft sales"
168,12,2,,"Auto top-up for posting draft sales"
169,12,2,,"Auto top-up for posting draft sales"
170,12,3,,"Auto top-up for posting draft sales"
171,12,3,,"Auto top-up for posting draft sales"
172,12,6,,"Auto top-up for posting draft sales"
176,12,9.5,,"Auto top-up for posting draft sales"
177,12,81.1,,"Auto top-up for posting draft sales"
178,12,75.25,,"Auto top-up for posting draft sales"
179,12,20.64,,"Auto top-up for posting draft sales"
180,12,1035.25,,"Auto top-up for posting draft sales"
181,12,152.5,,"Auto top-up for posting draft sales"
182,12,338.03,,"Auto top-up for posting draft sales"
183,12,369,,"Auto top-up for posting draft sales"
184,12,495.5,,"Auto top-up for posting draft sales"
185,12,43.15,,"Auto top-up for posting draft sales"
186,12,19,,"Auto top-up for posting draft sales"
187,12,83,,"Auto top-up for posting draft sales"
188,12,212,,"Auto top-up for posting draft sales"
189,12,112,,"Auto top-up for posting draft sales"
190,12,17,,"Auto top-up for posting draft sales"
191,12,350,,"Auto top-up for posting draft sales"
193,12,30,,"Auto top-up for posting draft sales"
194,12,4,,"Auto top-up for posting draft sales"
195,12,3,,"Auto top-up for posting draft sales"
196,12,6,,"Auto top-up for posting draft sales"
197,12,5,,"Auto top-up for posting draft sales"
198,12,3,,"Auto top-up for posting draft sales"
199,12,2,,"Auto top-up for posting draft sales"
200,12,2,,"Auto top-up for posting draft sales"
201,12,25,,"Auto top-up for posting draft sales"
202,12,6,,"Auto top-up for posting draft sales"
203,12,11,,"Auto top-up for posting draft sales"
204,12,13,,"Auto top-up for posting draft sales"
205,12,2,,"Auto top-up for posting draft sales"
207,12,1,,"Auto top-up for posting draft sales"
208,12,17,,"Auto top-up for posting draft sales"
209,12,7,,"Auto top-up for posting draft sales"
210,12,1,,"Auto top-up for posting draft sales"
211,12,1,,"Auto top-up for posting draft sales"
212,12,1,,"Auto top-up for posting draft sales"
214,12,2,,"Auto top-up for posting draft sales"
215,12,1,,"Auto top-up for posting draft sales"
216,12,5,,"Auto top-up for posting draft sales"
217,12,4,,"Auto top-up for posting draft sales"
218,12,2,,"Auto top-up for posting draft sales"
219,12,2,,"Auto top-up for posting draft sales"
220,12,1,,"Auto top-up for posting draft sales"
223,12,1,,"Auto top-up for posting draft sales"
225,12,4,,"Auto top-up for posting draft sales"
226,12,25,,"Auto top-up for posting draft sales"
228,12,94,,"Auto top-up for posting draft sales"
229,12,73,,"Auto top-up for posting draft sales"
230,12,90,,"Auto top-up for posting draft sales"
231,12,66,,"Auto top-up for posting draft sales"
232,12,85,,"Auto top-up for posting draft sales"
233,12,329,,"Auto top-up for posting draft sales"
234,12,100,,"Auto top-up for posting draft sales"
235,12,11,,"Auto top-up for posting draft sales"
236,12,83,,"Auto top-up for posting draft sales"
237,12,53,,"Auto top-up for posting draft sales"
238,12,46,,"Auto top-up for posting draft sales"
